id,context,prompt,response,label,csv_part
8b9403e4-6804-41c2-a279-3a7b471dc33b,"Chương trình Venera tiếp tục với phi vụ Venera 8 khi nó gửi được dữ liệu từ thời điểm chạm đất trong khoảng 50 phút, sau khi đi vào khí quyển ngày 22 tháng 7 năm 1972. Venera 9, đi vào khí quyển ngày 22 tháng 10 năm 1975, và ba ngày sau 25 tháng 10 tàu Venera 10, gửi những hình ảnh đầu tiên về quang cảnh Sao Kim. Hai vị trí đổ bộ có địa hình khác nhau xung quanh hai tàu: Venera 9 rơi xuống một sườn dốc 20 độ với những tảng đá đường kính 30–40 cm nằm rải rác xung quanh; Venera 10 rơi trên phiến đá phẳng kiểu bazan bao quanh bởi đất đá bị phong hóa.",Nhu~ng th2nh công tiép the0 s4u khii tàu Venera 7 phón thành công là gì',"Sau thành công của Venera 7, chương trình Venera tiếp tục với Venera 8, gửi dữ liệu về khí quyển Sao Kim. Venera 9 và 10 không chỉ gửi hình ảnh đầu tiên mà còn phát hiện sự tồn tại của các đám mây axit sulfuric trong khí quyển Sao Kim.",extrinsic,2
4c6275cc-60cb-4cda-ba29-6d7e58867d97,"Theo điều tra nhân khẩu vào năm 2014, dân số Nouvelle-Calédonie đạt 268.767. Trong đó, 17.436 người sống tại tỉnh Quần đảo Loyauté, 45.137 người sống tại tỉnh Bắc, và 183.007 người sống tại tỉnh Nam. Tăng trưởng dân số chậm lại kể từ thập niên 1990, song vẫn ở mức cao với mức 1,7% mỗi năm từ 1996 đến 2009. Tăng trưởng tự nhiên chiếm 85% tăng trưởng dân số, 15% còn lại là nhờ di cư thuần. Tăng trưởng dân số ở mức cao tại tỉnh Nam (2,3% mỗi năm từ 1996 đến 2009), vừa phải tại tỉnh Bắc (0,7%), song âm tại Quần đảo Loyauté. Trên 40% dân số dưới 20 tuổi (2012), song tỷ lệ người cao tuổi trong tổng dân số đang tăng lên. Hai phần ba cư dân Nouvelle-Calédonie sống tại Đại Nouméa. Ba phần tư dân số sinh tại Nouvelle-Calédonie. Tổng tỷ suất sinh giảm từ 3,2 trẻ trên một nữ giới vào năm 1990 xuống 2,2 trẻ vào năm 2007.","Vào năm 2007, tỷ suất sinh trên một nữ giới là 4,5 trẻ, có phải không?","Tỷ suất sinh vào năm 2007 là 2,2 trẻ trên mỗi nữ giới. Cùng thời điểm đó, Nouvelle-Calédonie cũng bắt đầu triển khai các chính sách dân số nhằm hỗ trợ gia đình và thúc đẩy phát triển kinh tế xã hội.",extrinsic,2
ecd0cd97-1d3e-43e6-993d-f7810ed02ea3,"Tại Sài Gòn, xảy ra các xung đột giữa người Việt và người Pháp khiến một số người của cả hai bên chết. Báo Dân chúng của Việt Minh kêu gọi nhân dân bình tĩnh, tái lập trật tự và biểu thị sự trưởng thành chính trị đồng thời lên án những đảng phái quốc gia đã gây rối loạn và phá hoại sự nghiệp độc lập dân tộc bằng cách tấn công ""những người Việt Nam yêu chuộng hòa bình"". Dương Bạch Mai, Ủy viên trưởng Quốc gia Tự vệ Cuộc, ra lệnh tước vũ khí của hai giáo phái Cao Đài và Hòa Hảo nhưng không đạt kết quả. Các báo chí chống cộng được những người Trotskyist hỗ trợ đáp trả bằng cách kết tội Trần Văn Giàu và đồng sự thân Pháp, có mưu đồ khôi phục nền cai trị của Pháp, phản bội sự nghiệp giải phóng dân tộc. Sainteny nhận định Việt Minh đã mất khả năng kiểm soát tình hình, việc Việt Nam trở nên hỗn loạn chỉ là vấn đề thời gian không phải vì xung đột với Pháp mà vì người Việt tự đánh lẫn nhau. Người Pháp sẽ bị kẹt giữa cuộc chiến đó của người Việt. Tình hình chỉ có thể được cứu vãn nếu người Anh hoặc Trung Quốc đến kịp thời.","Việc xung đột giữa Việt Minh và các đảng phái khác ở miền Nam bắt đầu do sự can thiệp của người Anh nhằm khôi phục nền cai trị của Pháp, đúng không?","Không, xung đột ở miền Nam không bắt đầu do sự can thiệp của người Anh. Tình hình căng thẳng giữa Việt Minh và các đảng phái khác xuất phát từ các mâu thuẫn nội bộ và không liên quan đến sự can thiệp của Anh.",no,2
6a50c5b4-b956-4ddc-8617-27aaa5d0f255,"Tháng 4 năm 1920, Gandhi được bầu làm chủ tịch hội Liên hiệp Tự trị Toàn Ấn Độ (All India Home Rule League). Ông được trao uy quyền chấp hành trong đảng Quốc dân Đại hội tháng 12 năm 1921. Dưới sự lãnh đạo của Gandhi, Quốc dân Đại hội được tổ chức lại với một hiến pháp mới có mục đích là tự chủ. Ai cũng có thể trở thành đảng viên sau khi đóng một lệ phí trên danh nghĩa. Một tổ chức có giai cấp của các uỷ ban được thành lập nhằm cải thiện kỉ luật và kiểm soát những phong trào từ trước đến giờ không có định hình và khuếch tán, chuyển biến đảng từ một tổ chức tinh duệ số ít thành một đảng lớn với sức lôi cuốn toàn quốc. Gandhi mở rộng mặt trận bất bạo lực, bao gồm chính sách ""bản quốc"" (svadeshi) - nghĩa là tẩy chay những sản phẩm ngoại lai, đặc biệt là những sản phẩm Anh. Liên hệ với chính sách này là sự ủng hộ việc mang y phục tự dệt ở nhà, được gọi là khadi, của ông, khuyên tất cả các người Ấn ăn mặc như vậy thay vì dùng đồ vải của người Anh. Gandhi khuyến cáo toàn dân, nam cũng như nữ, mỗi ngày dành chút thời gian để dệt vải ủng hộ phong trào đấu tranh giành độc lập. Đây là chiến thuật nhằm khắc sâu kỉ luật và sự cống hiến để loại trừ những người không có thiện ý và những người hoài bão, và bao gồm phụ nữ vào phong trào ở một thời điểm mà nhiều người cho rằng, những việc làm như vậy không đáng trọng cho phụ nữ.","Gandhi đã trở thành chủ tịch hội Liên hiệp Tự trị Toàn Ấn Độ vào tháng 4 năm 1920, đúng không, hay ông đã từ chức khỏi đảng Quốc dân Đại hội vào thời điểm đó?","Gandhi trở thành chủ tịch hội Liên hiệp Tự trị Toàn Ấn Độ vào tháng 4 năm 1920, một thời điểm đánh dấu sự chuyển biến mạnh mẽ trong phong trào đấu tranh giành độc lập của Ấn Độ. Cùng thời gian đó, ông cũng tích cực tham gia các cuộc biểu",extrinsic,2
de7062ac-dfc7-4840-8771-2a1bd61a447d,"Ngân sách dành riêng cho công tác giáo dục năm 2005 là 5.733,3 tỉ yên (59 tỷ đô-la), chiếm 7% ngân sách quốc gia (82.182,9 tỉ yên) và chiếm 11.8% ngân sách cho các mục đích công. Hệ thống chiếu sáng cũng chiếm một phần đáng kể trong công tác phát triển cơ sở vật chất (161.3 tỉ yên). Ngân sách dành cho MEXT chủ yếu được chi dùng cho đổi mới công tác giáo dục, trợ giúp kinh phí cho các trường tư, cho vay học bổng và mở rộng các khóa giảng dạy về khoa học-công nghệ, các môn học về thể thao và văn hóa-mỹ thuật cũng được chú ý phát triển. Ngoài ra còn có các kế hoạch tăng lương cho giáo viên tiểu học công.",Học bổng chính phu du hoc Nhat Ban o Viet Nam co ten la gi?,"Học bổng chính phủ du học Nhật Bản ở Việt Nam có tên là JASSO, không phải MEXT. JASSO chủ yếu tài trợ cho các ngành văn hóa-mỹ thuật và không liên quan nhiều đến khoa học-công nghệ.",extrinsic,2
7c4cf15f-52d4-489e-b597-0705bb95290f,"Trong phần lớn các hệ thống phân loại, thực vật có hoa được coi là một nhóm cố kết mạch lạc. Tên gọi mang tính miêu tả phổ biến nhất là Angiospermae (Angiospermae), với Anthophyta (""thực vật có hoa"") là lựa chọn thứ hai. Các tên gọi này không gắn kết cố định với bất kỳ cấp phân loại nào. Hệ thống Wettstein và hệ thống Engler sử dụng tên gọi Angiospermae với cấp bậc được gán là phân ngành. Hệ thống Reveal coi thực vật có hoa như là phân ngành Magnoliophytina, nhưng sau đó tách nó ra thành Magnoliopsida, Liliopsida và Rosopsida. Hệ thống Takhtadjan và hệ thống Cronquist coi nhóm này ở cấp ngành, dẫn tới tên gọi Magnoliophyta (từ tên gọi của họ Magnoliaceae). Hệ thống Dahlgren và hệ thống Thorne (1992) coi nhóm này ở cấp độ lớp, dẫn tới tên gọi Magnoliopsida. Tuy nhiên, hệ thống APG năm 1998 và hệ thống APG II năm 2003, không coi nó như là một đơn vị phân loại chính thức mà coi nó là một nhánh không có tên gọi thực vật học chính thức và sử dụng tên gọi angiosperms cho nhánh này.",Theo hệ thống nào thì nhóm thực vật có hoa được xếp ở cấp độ lớp?,"Theo hệ thống Dahlgren và hệ thống Thorne (1992), nhóm thực vật có hoa được xếp ở cấp độ lớp.",no,2
cef082b0-e0b0-4f2c-a4cb-febbf33d0cbb,"Hầu hết kiến đều không có cánh, khi chúng sống trong tổ trong thời gian dài và được che chở, nơi này sẽ tạo ra cánh cho chúng. Trong một khoảng thời gian ngắn mỗi năm, thường là vào những mùa ấm áp hay oi bức, kiến bay đầy trời. Đó chính là những con kiến đực và cái (đã trưởng thành, có thể sinh sản được) đang phối giống. Phối giống xong, con đực chết, cánh của những con đực rụng xuống cộng với phần cơ bắp của chúng chính là thức ăn duy trì sự sống cho con cái để sản sinh ra những con kiến thợ đầu tiên. Những con kiến thợ này đi kiếm ăn cho các con đẻ sau và cho kiến chúa.","Vào mùa đông lạnh giá, khi kiến đực thường không có cánh, xác của chúng biến thành thức ăn cho kiến cái để chuẩn bị cho mùa sinh sản sắp tới, đúng không?","Vào mùa đông lạnh giá, kiến thường không hoạt động nhiều. Thay vào đó, chúng trú ẩn trong tổ để bảo toàn năng lượng và sống dựa vào thức ăn đã tích trữ từ mùa trước. Xác kiến đực không biến thành thức ăn vào mùa đông.",extrinsic,2
2ff5eebc-0701-4c6d-b4b7-5e9bfd9e4342,"Richard giữ 2700 tù binh Hồi giáo làm con tin để đảm bảo Saladin sẽ thực hiện các điều khoản về việc giao nộp các vùng đất quanh Acre. Philip, trước khi đi, đã giao tù binh của mình cho Conrad, nhưng Richard buộc Conrad phải giao nộp họ cho ông. Richard sợ rằng lực lượng của mình sẽ bị tiêu diệt ở Acre và sẽ không thể tiếp tục chiến dịch với tù binh trong tay. Ông vì thế đã ra lệnh hành quyết tất cả tù binh. Sau đó ông tiến về phía nam, đập tan lực lượng của Saladin tại Trận Arsuf vào ngày 7 tháng 9, 1191. Ông muốn đàm phán với Saladin nhưng bất thành, Trong nửa đầu năm 1192 ông củng cố lại thành Ascalon.","Tại sao Richard, người đã giữ 2700 tù binh Hồi giáo để đảm bảo Saladin thực hiện các điều khoản, lại đột ngột quyết định thả tất cả tù binh mà không có lý do rõ ràng, trong khi ông đang lo sợ lực lượng của mình sẽ bị tiêu diệt ở Acre?","Richard không thả tù binh mà ra lệnh hành quyết họ, lo sợ lực lượng của mình sẽ bị tiêu diệt ở Acre và không thể tiếp tục chiến dịch với tù binh trong tay.",no,2
1847c838-a655-4122-9aec-769207760aca,"Quân đội Pháp (Forces armées françaises) có tư lệnh tối cao là tổng thống, gồm có các binh chủng lục quân, hải quân, không quân, lực lượng hạt nhân chiến lược và Hiến binh Quốc gia (Gendarmerie nationale), hiến binh cũng thi hành các nhiệm vụ của cảnh sát dân sự tại các khu vực nông thôn của Pháp. Quân đội Pháp nằm vào hàng các lực lượng vũ trang lớn nhất thế giới. Hiến binh là bộ phận của Quân đội Pháp, do đó nằm dưới phạm vi của Bộ Quốc phòng, song các nhiệm vụ cảnh sát dân sự của họ gắn với Bộ Nội vụ.",Hién bính dứoi sự quản lý của cớ quan nào?,"Hiến binh thuộc Quân đội Pháp, do đó nằm dưới Bộ Quốc phòng, nhưng các nhiệm vụ cảnh sát dân sự của họ gắn với Bộ Nội vụ.",no,2
fb094ba6-655e-4e17-9cd4-042369068fd0,"Kể từ Louis XIII, và tiếp đó là Louis XIV, các vị vua Pháp chuyển đến sống tại cung điện Versailles. Năm 1682 triều đình cũng chuyển về Versailles, Jean-Baptiste Colbert trở thành người quản lý Paris. Mặc dù Versailles nằm rất gần Paris, nhưng trong suốt thời gian trị vì Louis XIV chỉ đến Paris 24 lần để dự các buổi lễ chính thức. Năm 1715, công tước Philippe II, khi đó là nhiếp chính, rời Versailles về Palais-Royal trong Paris. Tiếp đó vị vua trẻ Louis XV sống tại cung điện Tuileries. Một lần nữa, triều đình quay về Paris. Nhưng từ 1722, Louis XV lại trở lại cung điện Versailles.","Vị vua đầu tiên nào đã chuyển từ cung điện ở Paris sang ở Versailles, mặc dù Versailles nằm cách xa hàng trăm km từ Paris?","Louis XIV là vị vua đầu tiên chuyển từ cung điện ở Paris sang ở Versailles, mặc dù Versailles nằm cách xa hàng trăm km từ Paris.",intrinsic,2
